*Employee ID,*Start Date,*Segment 1 End Time,*Segment 1 Type,*Segment 1 Start Day Number,*Segment 1 Start Time,*Segment 1 End Day Number,Label,Segment 2 Type,Segment 2 Start Day Number,Segment 2 Start Time,Segment 2 End Day Number,Segment 2 End Time,Segment 3 Type,Segment 3 Start Day Number,Segment 3 Start Time,Segment 3 End Day Number,Segment 3 End Time,Segment 4 Type,Segment 4 Start Day Number,Segment 4 Start Time,Segment 4 End Day Number,Segment 4 End Time,Segment 5 Type,Segment 5 Start Day Number,Segment 5 Start Time,Segment 5 End Day Number,Segment 5 End Time
10591197,01/01/2024,18:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,02/01/2024,19:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,03/01/2024,21:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,04/01/2024,22:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,08/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,09/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,10/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,11/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,12/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,13/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,14/01/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10591197,14/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,15/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,16/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,20/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,21/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,22/01/2024,20:00,REGULAR_SEGMENT,1,12:00,1,,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,2000,,,,,,,,,,
10591197,05/02/2024,16:00,REGULAR_SEGMENT,1,12:00,,,,,,,,,,,,,,,,,,,,,,
10499961,25/02/2024,18:30,REGULAR_SEGMENT,1,14:30,1,8,BREAK_SEGMENT,1,18:30,1,19:00,REGULAR_SEGMENT,1,19:00,1,23:00,,,,,,,,,,
10499961,26/02/2024,13:00,REGULAR_SEGMENT,1,08:00,1,5,,,,,,,,,,,,,,,,,,,,
10499961,27/02/2024,08:45,REGULAR_SEGMENT,1,05:00,1,3.75,,,,,,,,,,,,,,,,,,,,
10499961,28/02/2024,20:30,REGULAR_SEGMENT,1,16:30,1,4,,,,,,,,,,,,,,,,,,,,
10499961,29/02/2024,12:30,REGULAR_SEGMENT,1,08:00,1,9.75,BREAK_SEGMENT,1,12:30,1,13:30,REGULAR_SEGMENT,1,13:30,1,18:45,,,,,,,,,,
10499961,01/03/2024,12:30,REGULAR_SEGMENT,1,08:00,1,10.5,BREAK_SEGMENT,1,12:30,1,13:30,REGULAR_SEGMENT,1,13:30,1,19:30,,,,,,,,,,
