*Employee ID,*Start Date,*Segment 1 End Time,*Segment 1 Type,*Segment 1 Start Day Number,*Segment 1 Start Time,*Segment 1 End Day Number,Label,Segment 2 Type,Segment 2 Start Day Number,Segment 2 Start Time,Segment 2 End Day Number,Segment 2 End Time,Segment 3 Type,Segment 3 Start Day Number,Segment 3 Start Time,Segment 3 End Day Number,Segment 3 End Time,Segment 4 Type,Segment 4 Start Day Number,Segment 4 Start Time,Segment 4 End Day Number,Segment 4 End Time,Segment 5 Type,Segment 5 Start Day Number,Segment 5 Start Time,Segment 5 End Day Number,Segment 5 End Time
10099017,05/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,06/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,07/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,08/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,09/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,05/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,06/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,07/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,15/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,15/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,15/03/2025,17:15,REGULAR_SEGMENT,1,13:00,1,7.5,BREAK_SEGMENT,1,17:15,1,17:45,REGULAR_SEGMENT,1,17:45,1,21:00,,,,,,,,,,
10099017,07/04/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,25/02/2025,18:30,REGULAR_SEGMENT,1,14:30,1,8,BREAK_SEGMENT,1,18:30,1,19:00,REGULAR_SEGMENT,1,19:00,1,23:00,,,,,,,,,,
10099017,26/02/2025,16:00,REGULAR_SEGMENT,1,10:00,1,6,,,,,,,,,,,,,,,,,,,,
10099017,27/02/2025,09:45,REGULAR_SEGMENT,1,05:00,1,4.75,,,,,,,,,,,,,,,,,,,,
10099017,28/02/2025,20:30,REGULAR_SEGMENT,1,15:30,1,4,,,,,,,,,,,,,,,,,,,,
10099017,01/03/2025,12:30,REGULAR_SEGMENT,1,08:00,1,9.75,BREAK_SEGMENT,1,12:30,1,13:30,REGULAR_SEGMENT,1,13:30,1,18:45,,,,,,,,,,
10099017,02/03/2025,12:30,REGULAR_SEGMENT,1,08:00,1,10.5,BREAK_SEGMENT,1,12:30,1,13:30,REGULAR_SEGMENT,1,13:30,1,19:30,,,,,,,,,,
10099017,03/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,04/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,05/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,06/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,07/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,4,,,,,,,,,,,,,,,,,,,,
10099017,08/03/2025,17:00,REGULAR_SEGMENT,1,13:00,1,5,,,,,,,,,,,,,,,,,,,,
10099017,09/03/2025,13:30,REGULAR_SEGMENT,1,08:00,1,10,BREAK_SEGMENT,1,13:30,1,14:00,REGULAR_SEGMENT,1,14:00,1,19:00,,,,,,,,,,
10099017,15/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
10099017,17/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
10099017,18/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
10099017,19/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
10099017,20/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
10099017,21/03/2025,15:30,REGULAR_SEGMENT,1,13:30,1,8,BREAK_SEGMENT,1,15:30,1,16:00,REGULAR_SEGMENT,1,16:00,1,20:00,,,,,,,,,,
